date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:32	42784/42784	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:33%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Script-Regular.eot	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Script-Regular.eot	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:33	42788/42788	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:34%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Script-Regular.woff2	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Script-Regular.woff2	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:34	42786/42786	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:35%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Script-Regular.woff	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Script-Regular.woff	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:35	42784/42784	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:36%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Script-Regular.ttf	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Script-Regular.ttf	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:36	42782/42782	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:37%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size1-Regular.eot	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size1-Regular.eot	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:37	42786/42786	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:38%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size1-Regular.woff2	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size1-Regular.woff2	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:38	42784/42784	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:39%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size1-Regular.woff	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size1-Regular.woff	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:40	42782/42782	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:40%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size1-Regular.ttf	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size1-Regular.ttf	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:41	42782/42782	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:42%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size2-Regular.eot	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size2-Regular.eot	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
21:57:42	42786/42786	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:27:43%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size2-Regular.woff2	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/fonts/KaTeX_Size2-Regular.woff2	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/vendors/css/katex.min.css)
